"index","date","depth","coverage","notes"
"282","02/21/201512:00:00","WSCT0283.JPG","0.0","0.0"
"285","02/22/201512:00:00","WSCT0286.JPG","0.0","0.0"
"288","02/23/201512:00:00","WSCT0289.JPG","0.0","0.0"
"291","02/24/201512:00:00","WSCT0292.JPG","0.0","0.0"
"294","02/25/201512:00:00","WSCT0295.JPG","0.0","0.0"
"297","02/26/201512:00:00","WSCT0298.JPG","0.0","0.0"
"300","02/27/201512:00:00","WSCT0301.JPG","0.0","0.0"
"303","02/28/201512:00:00","WSCT0304.JPG","0.0","0.0"
"306","03/01 /201512:00:00","WSCT0307.JPG","0.0","0.0"
"309","03/02/201512:00:00","WSCT0310.JPG","0.0","0.0"
"312","03/03/201512:00:00","WSCT0313.JPG","0.0","0.0"
"315","03/04/201512:00:00","WSCT0316.JPG","0.0","0.0"
"318","03/05/201512:00:00","WSCT0319.JPG","0.0","0.0"
"321","03/06/201512:00:00","WSCT0322.JPG","0.0","0.0"
"324","03/07/201512:00:00","WSCT0325.JPG","0.0","0.0"
"327","03/08/201512:00:00","WSCT0328.JPG","0.0","0.0"
"330","03/09/201512:00:00","WSCT0331.JPG","0.0","0.0"
"333","03/10/201512:00:00","WSCT0334.JPG","0.0","0.0"
"336","03/11/201512:00:00","WSCT0337.JPG","0.0","0.0"
"339","03/12/201512:00:00","WSCT0340.JPG","0.0","0.0"
"342","03/13/201512:00:00","WSCT0343.JPG","0.0","0.0"
"345","03/14/201512:00:00","WSCT0346.JPG","0.0","0.0"
"348","03/15/201512:00:00","WSCT0349.JPG","0.0","0.0"
"351","03/16/201512:00:00","WSCT0352.JPG","0.0","0.0"
"354","03/17/201512:00:00","WSCT0355.JPG","0.0","0.0"
"357","03/18/201512:00:00","WSCT0358.JPG","0.0","0.0"
"360","03/19/201512:00:00","WSCT0361.JPG","0.0","0.0"
"363","03/20/201512:00:00","WSCT0364.JPG","0.0","0.0"
"366","03/21/201512:00:00","WSCT0367.JPG","0.0","0.0"
"369","03/22/201512:00:00","WSCT0370.JPG","0.0","0.0"
"372","03/23/201512:00:00","WSCT0373.JPG","0.0","0.0"
"375","03/24/201512:00:00","WSCT0376.JPG","0.0","0.0"
"378","03/25/201512:00:00","WSCT0379.JPG","0.0","0.0"
"381","03/26/201512:00:00","WSCT0382.JPG","0.0","0.0"
"384","03/27/201512:00:00","WSCT0385.JPG","0.0","0.0"
"387","03/28/201512:00:00","WSCT0388.JPG","0.0","0.0"
"390","03/29/201512:00:00","WSCT0391.JPG","0.0","0.0"
"393","03/30/201512:00:00","WSCT0394.JPG","0.0","0.0"
"396","03/31/201512:00:00","WSCT0397.JPG","0.0","0.0"
"399","04/01/201512:00:00","WSCT0400.JPG","0.0","0.0"
"402","04/02/201512:00:00","WSCT0403.JPG","0.0","0.0"
"405","04/03/201512:00:00","WSCT0406.JPG","0.0","0.0"
"408","04/04/201512:00:00","WSCT0409.JPG","0.0","0.0"
"411","04/05/201512:00:00","WSCT0412.JPG","0.0","0.0"
"414","04/06/201512:00:00","WSCT0415.JPG","0.0","0.0"
"417","04/07/201512:00:00","WSCT0418.JPG","0.0","0.0"
"420","04/08/201512:00:00","WSCT0421.JPG","0.0","0.0"
"423","04/09/201512:00:00","WSCT0424.JPG","0.0","0.0"
"426","04/10 /201512:00:00","WSCT0427.JPG","0.0","0.0"
"429","04/11/201512:00:00","WSCT0430.JPG","0.0","0.0"
"432","04/12/201512:00:00","WSCT0433.JPG","0.0","0.0"
"435","04/13/201512:00:00","WSCT0436.JPG","0.0","0.0"
"438","04/14/201512:00:00","WSCT0439.JPG","0.0","0.0"
"441","04/15/201512:00:00","WSCT0442.JPG","0.0","0.0"
